id,first_name,last_name,affiliation,status,description,website_url,image_url,banner_url
1,Hillary ,Clinton,Democrat,active,Fmr. Secretary of States,www.hillaryclinton.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
2,Bernie,Sanders,Democrat,active,Senator from Vermont,berniesanders.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,w_400,x_0,y_5/electionmap/img/Bernie_Sanders.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
3,Martin,O'Malley,Democrat,inactive,61st Governor of Maryland,www.martinomalley.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,w_400,y_0/electionmap/img/Martin-OMalley.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_pad,h_369,w_600/electionmap/img/o-malley-for-president-2016-_6922.jpg"
4,Ted,Cruz,Republican,active,Senator from Texas,www.tedcruz.org,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
5,John,Kasich,Republican,active,69th Governor of Ohio,www.johnkasich.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
6,Donald,Trump,Republican,active,Businessperson,www.trump.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
7,Marco,Rubio,Republican,inactive,Senator from Florida,marcorubio.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
8,Ben,Carson,Republican,inactive,Retired Neurosurgeon,www.bencarson.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
9,Jeb,Bush,Republican,inactive,43rd Governor of Florida ,jeb2016.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
10,Jim,Gilmore,Republican,inactive,68th Governor of Virginia,www.gilmoreforamerica.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
11,Chris,Christie,Republican,inactive,55th Governor of New Jersey,nj.gov/governor,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
12,Carly,Fiorina,Republican,inactive,Businessperson,carlyforamerica.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
13,Rick,Santorum,Republican,inactive,Senator from Pennsylvania,www.facebook.com/RickSantorum,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
14,Rand,Paul,Republican,inactive,Senator from Kentucky,www.randpaul.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
15,Mike,Huckabee,Republican,inactive,44th Governor of Arkansas ,www.mikehuckabee.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
16,Gary,Johnson,Libertarian,active,29th Governor of New Mexico,www.jill2016.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
17,Jill,Stein,Green,active,Physician,www.johnsonweld.com,"http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_400/c_crop,h_400,r_0,w_400,y_10/electionmap/img/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg","http://res.cloudinary.com/dqacnk0ea/image/upload/c_scale,w_600/electionmap/img/1200px-H4A.png"
